Accessed on Thu Sep 15 2016 00:29:28 GMT-0700 (PDT)
 
×

582 Owners Of Nevermourne, Nightmare Spawn
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 Papercut	A+	2×	50/53	  GET
 Chris Dalakos	A+	1×	31/53	  GET
 Ender	A+	1×	41/53	  GET
 Michael Jonathan	A+	1×	17/53	  GET
 Akuma Brighton	A	1×	34/53	  GET
 Brokenpanda	A+	1×	46/53	  GET
 DoctorFluffy	A+	1×	42/53	  GET
 Lyss	A-	1×	36/53	  GET
 Brawndo	A+	1×	44/53	  GET
 Lauren Voorhees	A+	1×	45/53	  GET
 Rhiya Duby	A+	1×	30/53	  GET
 Myrtale Aviña	A+	1×	43/53	  GET
 Jemoutrageous	F	1×	21/53	  GET
 Alfred Rivera	A+	1×	44/53	  GET
 Jack_storm_448	A+	1×	31/53	  GET
 Timelessking	A+	1×	35/53	  GET
 Layton	A+	1×	43/53	  GET
 Matzika	A	1×	41/53	  GET
 Oliver Sparkes	A+	1×	41/53	  GET
 Maryann Wallace	D	1×	37/53	  GET
 Dazai Osamu	A+	1×	40/53	  GET
 Noirix	D+	1×	27/53	  GET
 Kari Junco	A+	1×	40/53	  GET
 David Jimenez	A+	1×	39/53	  GET
 Kumi	A+	1×	44/53	  GET
 Shelly Gagnon	A+	1×	39/53	  GET
 Niklas Berg	A+	1×	38/53	  GET
 Jessica Carroll	A+	1×	39/53	  GET
 Neonmobster_19102	A+	1×	45/53	  GET
 Inky Seawatir	A-	1×	34/53	  GET
 MarioSun123	A+	1×	39/53	  GET
 Alexandra Campbell	A+	1×	36/53	  GET
 Eodragon	A+	1×	35/53	  GET
 Marc Hatton	A+	1×	39/53	  GET
 Steven Edwards	A+	1×	41/53	  GET
 Igor Henckes	A	1×	40/53	  GET
 Mary Boulerice	A+	1×	37/53	  GET
 Kiwistunz	A+	1×	44/53	  GET
 Thor Andre Hammer Olsen	A+	1×	39/53	  GET
 Edgardo shawowski	B	1×	11/53	  GET
 August Hopp	A+	1×	28/53	  GET
 Hasan.jawad1	A	1×	19/53	  GET
 David Shingles	A+	1×	41/53	  GET
 Mike Logaz	A+	1×	37/53	  GET
 Malik Wade	A+	1×	40/53	  GET
 Chris LeDoux	A+	1×	53/53	  GET
 CoolVibranium	A+	1×	40/53	  GET
 Linivy	A+	1×	33/53	  GET
 James O'Leary	A+	1×	41/53	  GET
 Naud van Dalen	A	1×	42/53	  GET
 Marcio Marques Soares	A+	1×	44/53	  GET
 Bruno Justa	A+	1×	24/53	  GET
 Cee Cee	B+	1×	24/53	  GET
 Thomas Art	A	1×	42/53	  GET
 Tommy	A	1×	36/53	  GET
 Ashley Herin	A+	1×	45/53	  GET
 Els Mercken	A+	1×	43/53	  GET
 Hamish Larkman	A+	1×	36/53	  GET
 Rjewd2	A+	1×	38/53	  GET
 Kristina Wideman	A+	1×	39/53	  GET
 Hey You're Cool	B-	1×	22/53	  GET
 Jake K	A+	1×	40/53	  GET
 Cameron Westmoreland	A+	1×	26/53	  GET
 Vanessa Holden	A+	1×	43/53	  GET
 Alkimim M. P. C.	A+	1×	42/53	  GET
 Megan Schumacher	A+	1×	40/53	  GET
 Vaschmir	A+	1×	43/53	  GET
 Mitchum	B	1×	33/53	  GET
 The_Blazing_Prince	A+	1×	41/53	  GET
 Emil Lindqvist	A	1×	33/53	  GET
 CircleArt	A+	1×	41/53	  GET
 Sam M	A+	1×	31/53	  GET
 Dominique Williamson	A+	1×	41/53	  GET
 Myko Viernes	A+	1×	38/53	  GET
 Josiah DePaoli	A+	1×	39/53	  GET
 Ribena	B+	1×	32/53	  GET
 Serenity Lee	A+	1×	48/53	  GET
 Romaindraws	A+	1×	39/53	  GET
 Melissa Lawver	A+	1×	48/53	  GET
 Brokenname	A+	1×	43/53	  GET
 Andreia Ferreira	A+	1×	49/53	  GET
 Melanie Easterbrook	A+	1×	38/53	  GET
 Chris Held	A+	1×	48/53	  GET
 Kevin Plumley	A	1×	41/53	  GET
 Edward	B+	1×	44/53	  GET
 Diana805	A+	1×	37/53	  GET
 Darth Dali	A+	1×	45/53	  GET
 Ax Trinity	A+	1×	7/53	  GET
 George Y. Lee	A+	1×	26/53	  GET
 Elyzalex	A+	1×	45/53	  GET
 Seafoodsurfer	A+	1×	49/53	  GET
 Tarielen Veritas	A+	1×	44/53	  GET
 Lolo Le Treize	A+	1×	40/53	  GET
 Leann Thieu	A+	1×	33/53	  GET
 Travguyt123	A+	1×	39/53	  GET
 Nicodeamus	A+	1×	23/53	  GET
 Playerdox	A-	1×	35/53	  GET
 Hamzaalimian786	B+	1×	38/53	  GET
 Evilpellu	A+	1×	43/53	  GET
 Nkeithart	A+	1×	42/53	  GET
 Miklo	A+	1×	41/53	  GET
 Giovannimaghi92	A+	1×	41/53	  GET
 Edru71	A+	1×	43/53	  GET
 Bronzepaw	A+	1×	30/53	  GET
 Megan wants the old NeonMob back	A+	1×	46/53	  GET
 Bernardo Salazar Gudiño	A+	1×	39/53	  GET
 Kelvin Tse	A+	1×	40/53	  GET
 Zoila NEEDS more ERs.	A+	1×	46/53	  GET
 Neonmobster_2157	A+	1×	35/53	  GET
 Dennis Perlstein	A+	1×	44/53	  GET
 Lucaiver	A+	1×	36/53	  GET
 Maggie White	A+	1×	32/53	  GET
 Mcnabbi	A+	1×	44/53	  GET
 Reaver	A+	1×	46/53	  GET
 Neonmobster_12467	A+	1×	32/53	  GET
 Bogdan Trachev	A+	1×	49/53	  GET
 Debra T	A+	1×	42/53	  GET
 Irishgirloriginal	A+	1×	40/53	  GET
 EmVee	A+	1×	45/53	  GET
 Sirhagrid	A+	1×	46/53	  GET
 Aaron Young	A+	1×	43/53	  GET
 Alejandro Schubert	A+	1×	41/53	  GET
 Steve Bono	A+	1×	40/53	  GET
 Joanne Marris	A+	1×	44/53	  GET
 Waldo Cervantes	A+	1×	29/53	  GET
 Christopher Krzal	A+	1×	39/53	  GET
 Starstartm Unknown	C+	1×	12/53	  GET
 James Millington	A	1×	36/53	  GET
 Dereck Yeater	C+	1×	15/53	  GET
 Nick Sabre	A+	1×	53/53	  GET
 Apollo00063	A+	1×	43/53	  GET
 Aquameringue	B	1×	27/53	  GET
 Xaelamie	A+	1×	43/53	  GET
 Midori Kumia	A+	1×	34/53	  GET
 Yicedawn	A+	1×	45/53	  GET
 Grace Ann Buenaventura	A+	1×	38/53	  GET
 Rebeldog	A+	1×	45/53	  GET
 Laura	A+	1×	45/53	  GET
 Adi	A+	1×	36/53	  GET
 Wax_packs	A+	1×	46/53	  GET
 GROOTY	A+	1×	40/53	  GET
 Dave Lee	A+	1×	41/53	  GET
 Kashimma Danner	A+	1×	41/53	  GET
 Jose.cardenas	A-	1×	44/53	  GET
 John Paul George Eguia	B+	1×	40/53	  GET
 Fiercefox52	A	1×	22/53	  GET
 Josh King	C-	1×	16/53	  GET
 Lucasmehringer4	B+	1×	29/53	  GET
 draconian Voltage	A+	1×	43/53	  GET
 Supimjusthere	A+	1×	36/53	  GET
 Sean Burdick	A	1×	39/53	  GET
 Joel Vergara	C	1×	30/53	  GET
 Cthulhu	A+	1×	44/53	  GET
 Nicolas Rewardi	A-	1×	37/53	  GET
 Kyureon Westfall	A+	1×	41/53	  GET
 Rachel	A+	1×	45/53	  GET
 Trisha Tan	A+	1×	46/53	  GET
 Christian Mille Malinao	A+	1×	38/53	  GET
 ?Mark	A+	1×	44/53	  GET
 Victoria	A+	1×	38/53	  GET
 J.M. A.N.	A+	1×	41/53	  GET
 Thomas Rad	A+	1×	17/53	  GET
 Taylor	A+	1×	42/53	  GET
 Desdinova	A+	1×	41/53	  GET
 Victoria Boudreau	A+	1×	29/53	  GET
 Kat	A+	1×	45/53	  GET
 Zeila	A+	1×	41/53	  GET
 Zlaster's Melancholy for the 70%	A+	1×	42/53	  GET
 Zelfore	A+	1×	48/53	  GET
 Tu Truong	A+	1×	32/53	  GET
 Tanksoul	D+	1×	40/53	  GET
 Dawn O'Brien	A+	1×	40/53	  GET
 Fejnav	A-	1×	40/53	  GET
 Danilo	A-	1×	39/53	  GET
 Gage Strasser	A+	1×	28/53	  GET
 Lawliet	A+	1×	44/53	  GET
 Littleblue	A+	1×	41/53	  GET
 Amelia	A+	1×	40/53	  GET
 Lotus	A+	1×	40/53	  GET
 Marcio Barrios	A+	1×	44/53	  GET
 PK Amnuay	A+	1×	41/53	  GET
 Neonmobster_19384	A+	1×	36/53	  GET
 Om Tivi	A+	1×	29/53	  GET
 Spyke	A+	1×	43/53	  GET
 William Brown	A+	1×	47/53	  GET
 Carter Brown	D+	1×	26/53	  GET
 Sabrina	A+	1×	29/53	  GET
 Ty Hatch	A+	1×	17/53	  GET
 Johnathan Tsui	A+	1×	10/53	  GET
 Weilin Liao	A+	1×	41/53	  GET
 Arch	A+	1×	44/53	  GET
 Patrick Hirsch	A+	1×	40/53	  GET
 Clay Johnson	A+	1×	37/53	  GET
 Lexi Sprague	A	1×	41/53	  GET
 Nicolas Fimbres	C+	1×	29/53	  GET
 Vinny Vince	A	1×	30/53	  GET
 Victor Vitiello Silva	A+	1×	25/53	  GET
 Kennedy Floyd	A+	1×	30/53	  GET
 Adrian F	A+	1×	37/53	  GET
 Claire	A+	1×	17/53	  GET
 Shieldofsheldor	A+	1×	43/53	  GET
 Brandt Jones	A+	1×	36/53	  GET
 Huntakilla	A+	1×	34/53	  GET
 Snow Star	A	1×	36/53	  GET
 David Phillips	D+	1×	41/53	  GET
 Lawlessfighter	D-	1×	35/53	  GET
 Millerty	C	1×	4/53	  GET
 Xavion	A+	1×	43/53	  GET
 Jackson Chen	A+	1×	40/53	  GET
 Ryan Saldaen	A-	1×	28/53	  GET
 Sami Khodir	A+	1×	45/53	  GET
 Schrodingers Box	A+	1×	42/53	  GET
 Robert Gronewold	A+	1×	41/53	  GET
 Ivy Liang	A+	1×	41/53	  GET
 Jerry Guo	A+	1×	41/53	  GET
 Coocoo617	A+	1×	40/53	  GET
 Ayumi	A+	1×	37/53	  GET
 Cboy0512	C-	1×	37/53	  GET
 BlueCat	A+	1×	32/53	  GET
 Kieran Gunn	A+	1×	41/53	  GET
 Fernando Suasnavar	A+	1×	44/53	  GET
 Santiago Gomez	A+	1×	44/53	  GET
 Sevilyra	A+	1×	44/53	  GET
 Destielgurl	A	1×	34/53	  GET
 Andrew Starks	A+	1×	41/53	  GET
 Willistmoth	F+	1×	7/53	  GET
 Imlostcanuhelpme	A+	1×	44/53	  GET
 Terence Petit	A-	1×	43/53	  GET
 Anouk b.	A+	1×	30/53	  GET
 Olivia Lane	A+	1×	40/53	  GET
 Dracken	A+	1×	42/53	  GET
 Phantompapaya	C	1×	23/53	  GET
 Markoi	C+	1×	18/53	  GET
 Holder	A+	1×	34/53	  GET
 Shawna Aponte	A+	1×	40/53	  GET
 Tiffany Tolbert	A+	1×	31/53	  GET
 Ryan Powell	A	1×	43/53	  GET
 Dream Eclipse	A+	1×	45/53	  GET
 Chris Williams	A+	1×	42/53	  GET
 Emily Kittelson	A+	1×	41/53	  GET
 Eyesofdoma	A+	1×	40/53	  GET
 Pao	A+	1×	34/53	  GET
 Sharoontheraccoon	A+	1×	43/53	  GET
 Cleanblade	A+	1×	42/53	  GET
 Claude Goeminne	A+	1×	29/53	  GET
 Sunwusaru	B	1×	25/53	  GET
 Great.white.media.shark	F	1×	27/53	  GET
 Nathan Howell	B	1×	5/53	  GET
 Raimundo	A+	1×	38/53	  GET
 Red Dragonfly	A+	1×	41/53	  GET
 tteokbokki	A+	1×	46/53	  GET
 Scarablabs	A+	1×	23/53	  GET
 Grgzhng	A-	1×	43/53	  GET
 Scylla	B-	1×	40/53	  GET
 BlitzTheWolf115	A+	1×	11/53	  GET
 Arutomat	D+	1×	28/53	  GET
 Daniel	A+	1×	41/53	  GET
 Srhodes	C+	1×	12/53	  GET
 Andrew Leesman	A+	1×	41/53	  GET
 Cyrus Malkin	A+	1×	52/53	  GET
 Gregg KeeferPROTESTSNEONMOBCHANGES	A+	1×	42/53	  GET
 Dane Smith	A+	1×	31/53	  GET
 Maria Stacy	A+	1×	42/53	  GET
 Takun Yokaishi	B	1×	12/53	  GET
 Monomi	A-	1×	24/53	  GET
 v vendeta	C-	1×	24/53	  GET
 Julius Holme	A+	1×	36/53	  GET
 Tom Oude Egberink	A+	1×	39/53	  GET
 Firstiand Chaniago	A+	1×	35/53	  GET
 Rom Andutan	A	1×	37/53	  GET
 Winnie Lao	A+	1×	44/53	  GET
 Matthew.robert.mcnally	A+	1×	44/53	  GET
 Miffles Stubbypaws	A+	1×	45/53	  GET
 Alexandru Ciuciulin	D+	1×	21/53	  GET
 Evi	A+	1×	38/53	  GET
 Aleks	A+	1×	39/53	  GET
 Joey Valko	A+	1×	48/53	  GET
 Matthias Bramfitt	A+	1×	24/53	  GET
 Jbot5k	A+	1×	40/53	  GET
 Angel B	A+	1×	46/53	  GET
 Heather Wisham	A+	1×	44/53	  GET
 Michael Plourde	A+	1×	38/53	  GET
 Good Man	A+	1×	38/53	  GET
 Derek Wellington	A+	1×	42/53	  GET
 Kilian	A+	1×	46/53	  GET
 Jvmagicman	A+	1×	34/53	  GET
 Hana Cooper	A+	1×	46/53	  GET
 Matt Clark	A-	1×	43/53	  GET
 Rae Corbett	A+	1×	41/53	  GET
 Ryan Sz	A+	1×	44/53	  GET
 Jett Ruocco	D+	1×	34/53	  GET
 Keevan O'Leary	A-	1×	11/53	  GET
 Alvaro Sierra	A+	1×	19/53	  GET
 Kodiburr	A+	1×	38/53	  GET
 The Paper Man	A+	1×	47/53	  GET
 Sombrus666	A+	1×	40/53	  GET
 Csongor Kiss	A+	1×	31/53	  GET
 Scoots	D	1×	33/53	  GET
 Melody Auburn	A+	1×	39/53	  GET
 Ironox	A+	1×	41/53	  GET
 Jessa	A+	1×	41/53	  GET
 Naranda	A+	1×	43/53	  GET
 Sfijal	A+	1×	16/53	  GET
 Carlos Torres	A+	1×	40/53	  GET
 Nathan	A+	1×	49/53	  GET
 Tien Lam	A+	1×	27/53	  GET
 Franco Hormazabal Labbe	B-	1×	40/53	  GET
 Winson Goh	A+	1×	43/53	  GET
 Cory Ruda	A+	1×	44/53	  GET
 Andrei Cristian Petrilă	A+	1×	49/53	  GET
 Morsmihi	A+	1×	31/53	  GET
 James Spindor	A+	1×	39/53	  GET
 Michael Rios	A+	1×	53/53	  GET
 Philip Dudrick	B-	1×	7/53	  GET
 Riél Shadowveil	A+	1×	46/53	  GET
 Ben Jenkinson	A+	1×	45/53	  GET
 Grimblood	A+	1×	33/53	  GET
 Jeroen Gadellaa	A+	1×	45/53	  GET
 Katherine Wise	A+	1×	37/53	  GET
 Daniel Sigal	A+	1×	45/53	  GET
 Reallybored	A+	1×	42/53	  GET
 Claudia Tinúviel	A+	1×	43/53	  GET
 DemonsWrath	A	1×	39/53	  GET
 Johnthesilver	A+	1×	49/53	  GET
 Nico Hart	A+	1×	45/53	  GET
 Courtney	A+	1×	53/53	  GET
 Varen	B	1×	29/53	  GET
 Kingcheesepuff	A+	1×	33/53	  GET
 Alice Liddell	A+	1×	42/53	  GET
 Care Halverson	A+	1×	38/53	  GET
 Qazyn	A+	1×	48/53	  GET
 Amy Reesor	A+	1×	46/53	  GET
 Majordirewolf	A+	1×	38/53	  GET
 Shääd Kunkle	A+	1×	44/53	  GET
 Anna Borodienko	D+	1×	17/53	  GET
 Miryam Mara	B+	1×	49/53	  GET
 KingOGKonaan	A+	1×	39/53	  GET
 Lizilya	A+	1×	44/53	  GET
 Frawst	A+	1×	47/53	  GET
 Tzel	A+	1×	33/53	  GET
 Zizimaro	A+	1×	48/53	  GET
 Morrow	A+	1×	40/53	  GET
 Urameshi14	B-	1×	36/53	  GET
 batiskafo	A+	1×	44/53	  GET
 Shade20xx	A+	1×	53/53	  GET
 Iniferala	C-	1×	41/53	  GET
 Catie Lambert Soliz	A+	1×	6/53	  GET
 CMW	A+	1×	41/53	  GET
 Trevor Wild	A+	1×	41/53	  GET
 Joseph	A+	1×	34/53	  GET
 Ipocalypse	A+	1×	47/53	  GET
 Selnari	A+	1×	41/53	  GET
 Adrian Ionita	A+	1×	40/53	  GET
 Darastrix	A+	1×	38/53	  GET
 LoudNoise	A+	1×	40/53	  GET
 Adropofbeauty	A	1×	40/53	  GET
 Fabled3000	A+	1×	42/53	  GET
 Wolfgirl1	A	1×	36/53	  GET
 Caleb Elder-Hall	A+	1×	39/53	  GET
 Michael Tsiang	A+	1×	37/53	  GET
 SuicidalxBullet	A+	1×	41/53	  GET
 Cooper	A+	1×	39/53	  GET
 Spiderpig13	B+	1×	13/53	  GET
 Lindsey Mian	A+	1×	45/53	  GET
 Evan	A+	1×	40/53	  GET
 Mangareaderrad	A+	1×	43/53	  GET
 Ainsel	B	1×	39/53	  GET
 Smogthebear	A+	1×	39/53	  GET
 Chance Mayhugh	A+	1×	43/53	  GET
 Chmeee	A+	1×	44/53	  GET
 Hendrik Lian	B-	1×	38/53	  GET
 David Tapia	C	1×	44/53	  GET
 Xavi Serrat	A+	1×	41/53	  GET
 Malik Pearson	A-	1×	22/53	  GET
 galliard von Sillein	A+	1×	43/53	  GET
 Kassidi White	A	1×	38/53	  GET
 CARMEN ROSA ARTEAGA	C	1×	13/53	  GET
 Gina	A	1×	41/53	  GET
 J K	A+	1×	40/53	  GET
 Lastemperor	A+	1×	43/53	  GET
 Serkan Burak Aslan	A+	1×	5/53	  GET
 Adam Tanouye	A+	1×	41/53	  GET
 Mike Stickel	A+	1×	46/53	  GET
 Vida Pour	B+	1×	6/53	  GET
 Brad Hoffman	A+	1×	49/53	  GET
 Rommel Singca	A+	1×	47/53	  GET
 Neonmobster_19489	B	1×	6/53	  GET
 Chymeron	A+	1×	43/53	  GET
 Ethelinetenenb	A+	1×	39/53	  GET
 Koolza	A+	1×	7/53	  GET
 Sugartime101	A+	1×	40/53	  GET
 Jennifer Dean	A+	1×	42/53	  GET
 Eesan	C-	1×	6/53	  GET
 Zong-Lin Jhuang	A+	1×	42/53	  GET
 Magarthryx	A+	1×	39/53	  GET
 Nicoleta Andreea	B-	1×	18/53	  GET
 Chignugnugs	A-	1×	12/53	  GET
 Robin Jones	A+	1×	35/53	  GET
 Loffel	A+	1×	40/53	  GET
 Matthew Barkdull	A+	1×	39/53	  GET
 Bre	A+	1×	39/53	  GET
 Andrewter	A+	1×	48/53	  GET
 Diane	A+	1×	52/53	  GET
 Neonmobster_16836	C	1×	26/53	  GET
 Stereo	A+	1×	42/53	  GET
 Snippid	A+	1×	45/53	  GET
 Silverblazblue	A+	1×	40/53	  GET
 Jesse Goll	A+	1×	33/53	  GET
 Byanki	B	1×	6/53	  GET
 Cheszali Erestain	A+	1×	43/53	  GET
 Paul Alexandru Geana	A+	1×	35/53	  GET
 Filip Vasovic	B+	1×	19/53	  GET
 HardyHero	A+	1×	42/53	  GET
 Filius Ijiastbar	A+	1×	32/53	  GET
 David Florin	D+	1×	15/53	  GET
 Wayne77	A-	1×	34/53	  GET
 Lucie Rose	A+	1×	42/53	  GET
 Always_robby	A+	1×	37/53	  GET
 Dixon Vew Lim	A+	1×	42/53	  GET
 Neonmobster_4493	A+	1×	42/53	  GET
 Shaman Suresh	A+	1×	44/53	  GET
 Enfuegopies Cyugy	A+	1×	39/53	  GET
 Ananirasbelsky	A-	1×	36/53	  GET
 Sithlordbb8	A+	1×	18/53	  GET
 Maroon_biochemist	B	1×	9/53	  GET
 sergio	A+	1×	43/53	  GET
 Retrosteampunk	A-	1×	33/53	  GET
 Ty Cronin	A+	1×	39/53	  GET
 Hungryman	A+	1×	42/53	  GET
 Genrel_id	A+	1×	46/53	  GET
 Vhari Lannigan	C+	1×	11/53	  GET
 Giorgia Loddo	A	1×	41/53	  GET
 Jinxedcross	A+	1×	40/53	  GET
 Vossk Hraesvelg	A+	1×	43/53	  GET
 Calliekins Riegg	A+	1×	44/53	  GET
 Marvia Davidson	B	1×	34/53	  GET
 Anna Trader	A+	1×	14/53	  GET
 Ezra	A+	1×	42/53	  GET
 Yezi	A+	1×	41/53	  GET
 Lapianoman	A+	1×	51/53	  GET
 Itmeya	C-	1×	4/53	  GET
 Carlos Wijaya	A+	1×	41/53	  GET
 Andyg	C	1×	7/53	  GET
 Marc Antoine	A+	1×	47/53	  GET
 Chewbacca68	A+	1×	39/53	  GET
 Albu Anca Elena	A+	1×	23/53	  GET
 SnowBear	A+	1×	44/53	  GET
 Cydragon	A+	1×	33/53	  GET
 Redcarrobbie	A+	1×	26/53	  GET
 Madison Parler	A+	1×	37/53	  GET
 N7 Vega	B	1×	23/53	  GET
 Tjnoverofett	F	1×	35/53	  GET
 Malcon Serrano	A+	1×	27/53	  GET
 Doro Tea	A+	1×	39/53	  GET
 Graham Viets	A+	1×	42/53	  GET
 cecilia barbosa	A+	1×	42/53	  GET
 Nicki Hoffman	A+	1×	42/53	  GET
 Andrea Torrone	A	1×	48/53	  GET
 Narby	A+	1×	51/53	  GET
 Matt Drake	A+	1×	41/53	  GET
 Neonmobster_19515	B+	1×	41/53	  GET
 Virginia "Magnolia" Pratcher and the MissOldNeonmob Hallows	A+	1×	48/53	  GET
 Taimaniac	A	1×	43/53	  GET
 Jim Schwanke	A+	1×	28/53	  GET
 Aline Magalhães	B	1×	22/53	  GET
 Giacomo Maggi	A+	1×	44/53	  GET
 Michael Wallace	A+	1×	46/53	  GET
 Mistogen	D-	1×	32/53	  GET
 Tantalurina	A+	1×	35/53	  GET
 Hironori Taniguchi	A	1×	39/53	  GET
 Royce Rinck	D-	1×	17/53	  GET
 Sarah Damitz	A	1×	7/53	  GET
 Itatly	A+	1×	39/53	  GET
 Hayley Pearson	A+	1×	36/53	  GET
 Riley Bobadilla	A+	1×	43/53	  GET
 Catpixels	A+	1×	44/53	  GET
 Brodie Bond	A+	1×	42/53	  GET
 Greenfaery	A+	1×	32/53	  GET
 Azore	A+	1×	38/53	  GET
 Fryingpansam93	A+	1×	40/53	  GET
 Falgaia	B+	1×	33/53	  GET
 HarbingerOne	A+	1×	39/53	  GET
 Ako FredPrima	A	1×	33/53	  GET
 Roches Guimarães	A+	1×	53/53	  GET
 Nukelese	B+	1×	28/53	  GET
 Djenge_Frett	A+	1×	38/53	  GET
 Jon R	A+	1×	31/53	  GET
 Ray Ross	A+	1×	42/53	  GET
 Caleb Chou	A+	1×	40/53	  GET
 Israel A. Candelario	A+	1×	39/53	  GET
 Arkhamhunter	C	1×	2/53	  GET
 wild_tardis	A	1×	24/53	  GET
 Zxion02	A+	1×	38/53	  GET
 Kherwin Cheng Chua	A+	1×	36/53	  GET
 Robin Bond	A+	1×	41/53	  GET
 Ghosthorizon	A	1×	25/53	  GET
 Maureen Tai	A+	1×	40/53	  GET
 Scoutboy	A+	1×	41/53	  GET
 Candyloidprocess	A+	1×	38/53	  GET
 Rabrugger	A+	1×	40/53	  GET
 Logan Back	A	1×	12/53	  GET
 Anastasia Rozynska	A+	1×	39/53	  GET
 Sorrowmicasa	B+	1×	38/53	  GET
 Mrshuff	A+	1×	39/53	  GET
 Toritundra	A+	1×	46/53	  GET
 KeithB	A+	1×	44/53	  GET
 Branson Strawderman	C+	1×	27/53	  GET
 Gunner Calaway	A+	1×	41/53	  GET
 Helen Velich	A	1×	37/53	  GET
 Shuunka	A+	1×	48/53	  GET
 Chad Fujihara	A+	1×	34/53	  GET
 Dave Wilhelm	A+	1×	44/53	  GET
 Bronykid101	A-	1×	14/53	  GET
 Nathsic	B-	1×	41/53	  GET
 Rebecca	A+	1×	40/53	  GET
 Ianjbohn	A	1×	39/53	  GET
 Neonmobster_811	A+	1×	45/53	  GET
 Isrofel	A+	1×	43/53	  GET
 Robin Bray	A+	1×	53/53	  GET
 Laila Pinto Alves	A+	1×	41/53	  GET
 Teddy Bear	A+	1×	35/53	  GET
 Allen Geneta	A+	1×	43/53	  GET
 Rokrevthin	A+	1×	46/53	  GET
 John Boster	A+	1×	38/53	  GET
 Tjdisco	A+	1×	38/53	  GET
 Crass	A	1×	44/53	  GET
 Istanyou	A+	1×	37/53	  GET
 Xander	A+	1×	38/53	  GET
 Kiki Lim	C	1×	16/53	  GET
 Zjilch	B+	1×	34/53	  GET
 David	A+	1×	40/53	  GET
 Atlxel	A+	1×	25/53	  GET
 Pyrosdragon	D	1×	20/53	  GET
 Vex Slasher	A+	1×	29/53	  GET
 Illogicalquacking	A+	1×	7/53	  GET
 Julie	A+	1×	46/53	  GET
 Makayla Carr	A+	1×	39/53	  GET
 Katie Knudson	A+	1×	43/53	  GET
 Max Dusman	A+	1×	42/53	  GET
 Neonmobster_12060	B-	1×	33/53	  GET
 Sean Neprud	A+	1×	40/53	  GET
 Arkvenium	A	1×	48/53	  GET
 Rdg001	A+	1×	40/53	  GET
